Nr.  	Status	Compiled instruction                                      	Bytecodes (hex)                                               	Disassembled to                                           
 1005	OK    	SL GHIJ, A                                                	06, 1C, C0                                                    	SL GHIJ, A                                                
 1006	OK    	SL LMN, 0x0C                                              	06, 11, 6C                                                    	SL LMN, 0x0C                                              
 1007	OK    	SL S, D                                                   	06, 06, 43                                                    	SL S, D                                                   
 1008	OK    	SL ST, J                                                  	06, 0E, 49                                                    	SL ST, J                                                  
 1009	OK    	SL STUV, 0x01                                             	06, 1A, 41                                                    	SL STUV, 0x01                                             
 1010	OK    	SL VW, 0x0A                                               	06, 0A, AA                                                    	SL VW, 0x0A                                               
 1011	OK    	SMUL DEFG, MN                                             	5D, 2C, 6C                                                    	SMUL DEFG, MN                                             
 1012	OK    	SMUL EFGH, F                                              	5D, 28, 85                                                    	SMUL EFGH, F                                              
 1013	OK    	SMUL KL, S                                                	5D, 0D, 52                                                    	SMUL KL, S                                                
 1014	OK    	SMUL KLMN, 0x06FD                                         	5D, 25, 46, FD                                                	SMUL KLMN, 0x06FD                                         
 1015	OK    	SMUL L, O                                                 	5D, 05, 6E                                                    	SMUL L, O                                                 
 1016	OK    	SMUL MNO, 0x0FEC                                          	5D, 15, 8F, EC                                                	SMUL MNO, 0x0FEC                                          
 1017	OK    	SMUL PQ, 0x0EA4                                           	5D, 09, EE, A4                                                	SMUL PQ, 0x0EA4                                           
 1018	OK    	SMUL PQR, PQR                                             	5D, 21, EF                                                    	SMUL PQR, PQR                                             
 1019	OK    	SMUL STU, J                                               	5D, 1A, 49                                                    	SMUL STU, J                                               
 1020	OK    	SMUL STU, OP                                              	5D, 1E, 4E                                                    	SMUL STU, OP                                              
 1021	OK    	SMUL UV, EF                                               	5D, 12, 84                                                    	SMUL UV, EF                                               
 1022	OK    	SMUL V, 0x017D                                            	5D, 02, A1, 7D                                                	SMUL V, 0x017D                                            
 1023	OK    	SMUL VWXY, ABC                                            	5D, 32, A0                                                    	SMUL VWXY, ABC                                            
 1024	OK    	SMUL WXYZ, CDEF                                           	5D, 36, C2                                                    	SMUL WXYZ, CDEF                                           
 1025	OK    	SQR (0x2AFC08)                                            	61, 18, 2A, FC, 08                                            	SQR (0x2AFC08)                                            
 1026	OK    	SQR (0x5E7025), F13                                       	61, 50, 0D, 5E, 70, 25                                        	SQR (0x5E7025), F13                                       
